concello;1991;1981;1970;1960;1950;1940;1930;1920;1910;1900;
32042 Lobios;"3190.0";"4631.0";"5009.0";"5064.0";"5221.0";"5079.0";"4640.0";"4448.0";"4355.0";"4201.0";
32043 Maceda;"3477.0";"5446.0";"4616.0";"5438.0";"5991.0";"6285.0";"5919.0";"5085.0";"4988.0";"4948.0";
32044 Manzaneda;"1439.0";"1828.0";"2350.0";"3117.0";"2973.0";"3158.0";"3437.0";"3370.0";"3427.0";"3283.0";
32045 Maside;"3577.0";"4551.0";"4448.0";"4993.0";"5808.0";"6571.0";"5877.0";"5797.0";"6052.0";"6339.0";
32046 Mel?n;"1835.0";"2124.0";"2485.0";"2915.0";"3315.0";"3461.0";"3408.0";"3333.0";"3465.0";"3324.0";
32047 Merca (A);"2733.0";"5011.0";"4690.0";"4907.0";"6016.0";"6173.0";"5463.0";"5032.0";"4993.0";"4975.0";
32048 Mezquita (A);"1805.0";"1845.0";"2201.0";"2549.0";"2651.0";"2682.0";"2635.0";"2914.0";"2888.0";"3033.0";
32049 Montederramo;"1401.0";"1755.0";"2348.0";"3048.0";"3443.0";"3626.0";"3795.0";"4154.0";"4147.0";"4076.0";
32050 Monterrei;"3603.0";"4877.0";"5028.0";"5752.0";"6108.0";"6203.0";"5156.0";"4860.0";"4947.0";"4233.0";
32051 Mu??os;"2236.0";"4152.0";"3190.0";"4566.0";"4341.0";"4452.0";"4436.0";"4388.0";"4804.0";"4579.0";
32052 Nogueira de Ramu?n;"2728.0";"3133.0";"7238.0";"7518.0";"8201.0";"7791.0";"8275.0";"8201.0";"8142.0";"7881.0";
32053 O?mbra;"2088.0";"2109.0";"2634.0";"3491.0";"3498.0";"3462.0";"3000.0";"2849.0";"2792.0";"2682.0";
32054 Ourense (Capital);"108382.0";"96085.0";"73379.0";"64153.0";"55574.0";"28397.0";"21579.0";"17581.0";"15998.0";"15194.0";
32055 Paderne de Allariz;"1791.0";"2166.0";"2574.0";"2801.0";"3275.0";"3761.0";"3800.0";"3822.0";"3872.0";"3785.0";
32056 Padrenda;"2881.0";"4121.0";"4520.0";"4741.0";"4887.0";"4983.0";"4038.0";"3979.0";"4242.0";"4142.0";
32057 Parada de Sil;"1083.0";"2171.0";"1897.0";"3085.0";"2912.0";"3353.0";"3272.0";"3163.0";"3367.0";"3287.0";
32058 Pereiro de Aguiar (O);"4691.0";"5998.0";"5427.0";"7398.0";"6975.0";"6953.0";"6681.0";"6856.0";"6886.0";"6731.0";
32059 Peroxa (A);"2868.0";"4080.0";"4058.0";"5036.0";"5929.0";"6461.0";"7416.0";"6510.0";"6531.0";"6564.0";
32060 Pet?n;"1225.0";"1615.0";"2903.0";"3220.0";"2669.0";"2729.0";"2887.0";"2689.0";"2607.0";"2568.0";
