codigoine;nome;"sup1996"
32009;Barco de Valdeorras, O;85,7
32015;Bolo, O;91,2
32017;Carballeda de Valdeorras;222,7
32038;Larouco;23,7
32060;Pet?n;30,5
32072;R?a, A;35,9
32073;Rubi?;100,7
32083;Veiga, A;290,5
32088;Vilamart?n de Valdeorras;88,3
32021;Castrelo do Val;122,0
32028;Cualedro;117,6
32039;Laza;215,9
32050;Monterrei;119,1
32053;O?mbra;71,9
32071;Ri?s;114,4
32085;Ver?n;94,1
32091;Vilardev?s;152,1
32034;Gudi?a, A;171,4
32048;Mezquita, A;104,3
32086;Viana do Bolo;270,4
32092;Vilari?o de Conso;200,2
36023;Guarda, A;20,5
36036;Oia;83,3
36048;Rosal, O;44,1
36054;Tomi?o;106,6
36055;Tui;68,3
36005;Caldas de Reis;68,2
36010;Catoira;29,4
36015;Cuntis;79,8
36032;Mora?a;41,3
36044;Pontecesures;6,7
36040;Portas;22,6
36056;Valga;40,6
36030;Mondariz;85,1
36031;Mondariz-Balneario;2,3
36034;Neves, As;65,5
36042;Ponteareas;125,6
36050;Salvaterra de Mi?o;62,5
36020;Agolada;147,8
36016;Doz?n;74,2
36024;Lal?n;326,8
36047;Rodeiro;154,9
36052;Silleda;168,0
36059;Vila de Cruces;155,0
36004;Bueu;30,8
36008;Cangas;38,1
36026;Mar?n;36,7
36029;Moa?a;35,1
36001;Arbo;42,9
36009;Ca?iza, A;107,5
36013;Covelo;125,3
36014;Crecente;57,5
36002;Barro;37,6
36007;Campo Lameiro;63,8
36012;Cotobade;134,7
36025;Lama, A;111,8
36041;Poio;33,9
36043;Ponte Caldelas;87,0
36038;Pontevedra;118,3
36058;Vilaboa;36,9
36006;Cambados;23,4
36022;Grove, O;21,9
36901;Illa de Arousa, A;7
36027;Mea?o;27,8
36028;Meis;52,4
36046;Ribadumia;19,7
36051;Sanxenxo;45,1
36060;Vilagarc?a de Arousa;44,2
36061;Vilanova de Arousa;33,7
36011;Cerdedo;79,8
36017;Estrada, A;280,8
36018;Forcarei;168,4
36003;Baiona;34,5
36019;Fornelos de Montes;83,1
36021;Gondomar;74,5
36033;Mos;53,2
36035;Nigr?n;34,8
36037;Pazos de Borb?n;50,0
36039;Porri?o, O;61,2
36045;Redondela;52,1
36049;Salceda de Caselas;35,9
36053;Soutomaior;25,0
36057;Vigo;109,1
