"X1.315","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112"
8953,9000.6,9048.2,9095.8,9143.4,9191,9238.6,9286.2,9333.8,9381.4,9429,9485,9541,9597,9653,9709,9765,9821,9877,9933,9989,10040.6,10092.2,10143.8,10195.4,10247,10298.6,10350.2,10401.8,10453.4,10505,10621.3,10737.6,10853.9,10970.2,11086.5,11202.8,11319.1,11435.4,11551.7,11668,11758.2,11848.4,11938.6,12028.8,12119,12209.2,12299.4,12389.6,12479.8,12570,12579.1,12588.2,12597.3,12606.4,12615.5,12624.6,12633.7,12642.8,12651.9,12661,12781.6,12902.2,13022.8,13143.4,13264,13384.6,13505.2,13625.8,13746.4,13867,14129.2727272727,14391.5454545455,14653.8181818182,14916.0909090909,15178.3636363636,15440.6363636364,15702.9090909091,15965.1818181818,16227.4545454545,16489.7272727273,16752,16756,16760,16764,16768,16772,16776,16780,16784,16788,16792,16887.6,16983.2,17078.8,17174.4,17270,17365.6,17461.2,17556.8,17652.4,17748,17882,18016,18150,18284,18418,18552,18686,18820,18954,19088
4232,4216.9,4201.8,4186.7,4171.6,4156.5,4141.4,4126.3,4111.2,4096.1,4081,4092.1,4103.2,4114.3,4125.4,4136.5,4147.6,4158.7,4169.8,4180.9,4192,4216,4240,4264,4288,4312,4336,4360,4384,4408,4432,4476.5,4521,4565.5,4610,4654.5,4699,4743.5,4788,4832.5,4877,4895.5,4914,4932.5,4951,4969.5,4988,5006.5,5025,5043.5,5062,5056.2,5050.4,5044.6,5038.8,5033,5027.2,5021.4,5015.6,5009.8,5004,5019,5034,5049,5064,5079,5094,5109,5124,5139,5154,5138,5122,5106,5090,5074,5058,5042,5026,5010,4994,4978,4898.9,4819.8,4740.7,4661.6,4582.5,4503.4,4424.3,4345.2,4266.1,4187,4195,4203,4211,4219,4227,4235,4243,4251,4259,4267,4281.4,4295.8,4310.2,4324.6,4339,4353.4,4367.8,4382.2,4396.6,4411
5681,5696.5,5712,5727.5,5743,5758.5,5774,5789.5,5805,5820.5,5836,5831.6,5827.2,5822.8,5818.4,5814,5809.6,5805.2,5800.8,5796.4,5792,5825.7,5859.4,5893.1,5926.8,5960.5,5994.2,6027.9,6061.6,6095.3,6129,6197.2,6265.4,6333.6,6401.8,6470,6538.2,6606.4,6674.6,6742.8,6811,6826.5,6842,6857.5,6873,6888.5,6904,6919.5,6935,6950.5,6966,6933.6,6901.2,6868.8,6836.4,6804,6771.6,6739.2,6706.8,6674.4,6642,6545.7,6449.4,6353.1,6256.8,6160.5,6064.2,5967.9,5871.6,5775.3,5679,5702.90909090909,5726.81818181818,5750.72727272727,5774.63636363636,5798.54545454545,5822.45454545455,5846.36363636364,5870.27272727273,5894.18181818182,5918.09090909091,5942,5923,5904,5885,5866,5847,5828,5809,5790,5771,5752,5800.1,5848.2,5896.3,5944.4,5992.5,6040.6,6088.7,6136.8,6184.9,6233,6347,6461,6575,6689,6803,6917,7031,7145,7259,7373
4727,4705.9,4684.8,4663.7,4642.6,4621.5,4600.4,4579.3,4558.2,4537.1,4516,4515.7,4515.4,4515.1,4514.8,4514.5,4514.2,4513.9,4513.6,4513.3,4513,4584.9,4656.8,4728.7,4800.6,4872.5,4944.4,5016.3,5088.2,5160.1,5232,5318.9,5405.8,5492.7,5579.6,5666.5,5753.4,5840.3,5927.2,6014.1,6101,6168.1,6235.2,6302.3,6369.4,6436.5,6503.6,6570.7,6637.8,6704.9,6772,6766,6760,6754,6748,6742,6736,6730,6724,6718,6712,6725.8,6739.6,6753.4,6767.2,6781,6794.8,6808.6,6822.4,6836.2,6850,6832,6814,6796,6778,6760,6742,6724,6706,6688,6670,6652,6546.1,6440.2,6334.3,6228.4,6122.5,6016.6,5910.7,5804.8,5698.9,5593,5590,5587,5584,5581,5578,5575,5572,5569,5566,5563,5481.4,5399.8,5318.2,5236.6,5155,5073.4,4991.8,4910.2,4828.6,4747
3322,3334.5,3347,3359.5,3372,3384.5,3397,3409.5,3422,3434.5,3447,3446.6,3446.2,3445.8,3445.4,3445,3444.6,3444.2,3443.8,3443.4,3443,3457.1,3471.2,3485.3,3499.4,3513.5,3527.6,3541.7,3555.8,3569.9,3584,3635.6,3687.2,3738.8,3790.4,3842,3893.6,3945.2,3996.8,4048.4,4100,4128,4156,4184,4212,4240,4268,4296,4324,4352,4380,4443.4,4506.8,4570.2,4633.6,4697,4760.4,4823.8,4887.2,4950.6,5014,5012.7,5011.4,5010.1,5008.8,5007.5,5006.2,5004.9,5003.6,5002.3,5001,4864.54545454545,4728.09090909091,4591.63636363636,4455.18181818182,4318.72727272727,4182.27272727273,4045.81818181818,3909.36363636364,3772.90909090909,3636.45454545455,3500,3457.4,3414.8,3372.2,3329.6,3287,3244.4,3201.8,3159.2,3116.6,3074,3102,3130,3158,3186,3214,3242,3270,3298,3326,3354,3348.3,3342.6,3336.9,3331.2,3325.5,3319.8,3314.1,3308.4,3302.7,3297
4153,4196.8,4240.6,4284.4,4328.2,4372,4415.8,4459.6,4503.4,4547.2,4591,4636.1,4681.2,4726.3,4771.4,4816.5,4861.6,4906.7,4951.8,4996.9,5042,5066.6,5091.2,5115.8,5140.4,5165,5189.6,5214.2,5238.8,5263.4,5288,5332.1,5376.2,5420.3,5464.4,5508.5,5552.6,5596.7,5640.8,5684.9,5729,5726.8,5724.6,5722.4,5720.2,5718,5715.8,5713.6,5711.4,5709.2,5707,5763.2,5819.4,5875.6,5931.8,5988,6044.2,6100.4,6156.6,6212.8,6269,6428.6,6588.2,6747.8,6907.4,7067,7226.6,7386.2,7545.8,7705.4,7865,7769.81818181818,7674.63636363636,7579.45454545455,7484.27272727273,7389.09090909091,7293.90909090909,7198.72727272727,7103.54545454545,7008.36363636364,6913.18181818182,6818,6829.2,6840.4,6851.6,6862.8,6874,6885.2,6896.4,6907.6,6918.8,6930,6879.1,6828.2,6777.3,6726.4,6675.5,6624.6,6573.7,6522.8,6471.9,6421,6386.4,6351.8,6317.2,6282.6,6248,6213.4,6178.8,6144.2,6109.6,6075
6722,6709.6,6697.2,6684.8,6672.4,6660,6647.6,6635.2,6622.8,6610.4,6598,6598.6,6599.2,6599.8,6600.4,6601,6601.6,6602.2,6602.8,6603.4,6604,6724.1,6844.2,6964.3,7084.4,7204.5,7324.6,7444.7,7564.8,7684.9,7805,7806.7,7808.4,7810.1,7811.8,7813.5,7815.2,7816.9,7818.6,7820.3,7822,7840.9,7859.8,7878.7,7897.6,7916.5,7935.4,7954.3,7973.2,7992.1,8011,7984.7,7958.4,7932.1,7905.8,7879.5,7853.2,7826.9,7800.6,7774.3,7748,7699.1,7650.2,7601.3,7552.4,7503.5,7454.6,7405.7,7356.8,7307.9,7259,7429.72727272727,7600.45454545455,7771.18181818182,7941.90909090909,8112.63636363636,8283.36363636364,8454.09090909091,8624.81818181818,8795.54545454545,8966.27272727273,9137,9461.6,9786.2,10110.8,10435.4,10760,11084.6,11409.2,11733.8,12058.4,12383,13070.9,13758.8,14446.7,15134.6,15822.5,16510.4,17198.3,17886.2,18574.1,19262,19718,20174,20630,21086,21542,21998,22454,22910,23366,23822
3960,3977.2,3994.4,4011.6,4028.8,4046,4063.2,4080.4,4097.6,4114.8,4132,4109.7,4087.4,4065.1,4042.8,4020.5,3998.2,3975.9,3953.6,3931.3,3909,3951.4,3993.8,4036.2,4078.6,4121,4163.4,4205.8,4248.2,4290.6,4333,4361.4,4389.8,4418.2,4446.6,4475,4503.4,4531.8,4560.2,4588.6,4617,4634.5,4652,4669.5,4687,4704.5,4722,4739.5,4757,4774.5,4792,4787.6,4783.2,4778.8,4774.4,4770,4765.6,4761.2,4756.8,4752.4,4748,4669.9,4591.8,4513.7,4435.6,4357.5,4279.4,4201.3,4123.2,4045.1,3967,3898.36363636364,3829.72727272727,3761.09090909091,3692.45454545455,3623.81818181818,3555.18181818182,3486.54545454545,3417.90909090909,3349.27272727273,3280.63636363636,3212,3062.7,2913.4,2764.1,2614.8,2465.5,2316.2,2166.9,2017.6,1868.3,1719,1700.1,1681.2,1662.3,1643.4,1624.5,1605.6,1586.7,1567.8,1548.9,1530,1514.3,1498.6,1482.9,1467.2,1451.5,1435.8,1420.1,1404.4,1388.7,1373
13032,13080.1,13128.2,13176.3,13224.4,13272.5,13320.6,13368.7,13416.8,13464.9,13513,13539.1,13565.2,13591.3,13617.4,13643.5,13669.6,13695.7,13721.8,13747.9,13774,13909.3,14044.6,14179.9,14315.2,14450.5,14585.8,14721.1,14856.4,14991.7,15127,15430.2,15733.4,16036.6,16339.8,16643,16946.2,17249.4,17552.6,17855.8,18159,18439.6,18720.2,19000.8,19281.4,19562,19842.6,20123.2,20403.8,20684.4,20965,21081.6,21198.2,21314.8,21431.4,21548,21664.6,21781.2,21897.8,22014.4,22131,22268.7,22406.4,22544.1,22681.8,22819.5,22957.2,23094.9,23232.6,23370.3,23508,23545.7272727273,23583.4545454545,23621.1818181818,23658.9090909091,23696.6363636364,23734.3636363636,23772.0909090909,23809.8181818182,23847.5454545455,23885.2727272727,23923,24020.5,24118,24215.5,24313,24410.5,24508,24605.5,24703,24800.5,24898,25222.4,25546.8,25871.2,26195.6,26520,26844.4,27168.8,27493.2,27817.6,28142,28457,28772,29087,29402,29717,30032,30347,30662,30977,31292
5507,5579,5651,5723,5795,5867,5939,6011,6083,6155,6227,6237.4,6247.8,6258.2,6268.6,6279,6289.4,6299.8,6310.2,6320.6,6331,6357.3,6383.6,6409.9,6436.2,6462.5,6488.8,6515.1,6541.4,6567.7,6594,6639.4,6684.8,6730.2,6775.6,6821,6866.4,6911.8,6957.2,7002.6,7048,7062.8,7077.6,7092.4,7107.2,7122,7136.8,7151.6,7166.4,7181.2,7196,7139.6,7083.2,7026.8,6970.4,6914,6857.6,6801.2,6744.8,6688.4,6632,6636.9,6641.8,6646.7,6651.6,6656.5,6661.4,6666.3,6671.2,6676.1,6681,6664.90909090909,6648.81818181818,6632.72727272727,6616.63636363636,6600.54545454545,6584.45454545455,6568.36363636364,6552.27272727273,6536.18181818182,6520.09090909091,6504,6451.4,6398.8,6346.2,6293.6,6241,6188.4,6135.8,6083.2,6030.6,5978,5928.2,5878.4,5828.6,5778.8,5729,5679.2,5629.4,5579.6,5529.8,5480,5394.6,5309.2,5223.8,5138.4,5053,4967.6,4882.2,4796.8,4711.4,4626
