"codigoine","concello","X1900","X1910","X1920","X1930","X1940","X1950","X1960","X1970","X1981","X1991","X2001","X2011","sup1996"
36022,"Grove, O",3969,4628,5102,5888,6823,7380,7644,8537,9917,10367,11039,11265,21.9
36023,"Guarda, A",6001,7160,7494,7588,9311,7725,7727,8501,9275,9727,9835,10419,20.5
36024,"Lalín",16238,16311,16818,17529,18620,19001,19627,19405,17666,19777,19869,20326,326.8
36025,"Lama, A",5305,5241,5310,4941,5155,4863,5398,4208,3040,2984,2947,2891,111.8
36026,"Marín",9228,9211,11296,13194,16294,17592,18515,19816,22647,23218,24997,25357,36.7
36027,"Meaño",4149,4377,4492,4519,5271,5048,5419,5421,5801,5142,5426,5451,27.8
36028,"Meis",4503,4286,4573,4906,5365,5490,4978,4761,5213,5018,5017,4939,52.4
36029,"Moaña",6091,7812,8020,9634,11305,11106,12736,15060,17053,16781,17887,19277,35.1
36030,"Mondariz",5213,5952,6764,6687,7001,7093,6978,6641,6443,6260,5185,4847,85.1
36031,"Mondariz-Balneario",NA,NA,NA,774,785,629,573,646,650,662,693,678,2.3
36032,"Moraña",4975,4792,4855,4421,4654,4810,4658,4578,4698,4766,4285,4410,41.3
36033,"Mos",6094,6753,7084,7367,8942,8876,10014,11183,13102,13414,14127,15194,53.2
36034,"Neves, As",6008,6387,6126,6435,6861,6852,6573,6224,6026,5150,4478,4280,65.5
36035,"Nigrán",6180,6493,6918,6974,7768,7968,8085,9048,12336,14008,16110,17870,34.8
36036,"Oia",2639,2602,2594,2677,2703,2893,2879,2747,2954,3017,2995,3100,83.3
36037,"Pazos de Borbén",2887,2959,3134,3324,3486,3394,3596,3411,3652,3403,3052,3148,50
36038,"Pontevedra",22330,24222,26944,30821,36968,43221,50483,52452,65137,75148,74942,82346,118.3
36039,"Porriño, O",7243,7510,7421,7758,8613,9310,9128,10044,13517,15093,15960,18033,61.2
36040,"Portas",2675,2948,3217,3176,3721,3577,3567,3599,3386,3289,3205,3073,22.6
36041,"Poio",5028,5397,6231,5921,6989,7277,7493,9051,11573,12978,14271,16642,33.9
36042,"Ponteareas",13452,13953,13785,13894,14634,14987,14552,14497,15013,15630,19011,23295,125.6
36043,"Ponte Caldelas",7103,7344,7382,6513,6965,7025,6597,8022,7678,7467,5921,5738,87
36044,"Pontecesures",NA,NA,NA,1811,2095,2105,2365,2560,2611,2915,2940,3132,6.7
36045,"Redondela",10843,11985,13644,14996,16927,17024,17206,22128,27202,27751,29003,29947,52.1
36046,"Ribadumia",3057,3006,3083,3225,3555,3697,3441,3640,4027,3656,4161,5147,19.7
36047,"Rodeiro",7066,7092,7454,6978,8593,8181,6014,5060,4700,4859,4229,2920,154.9
36048,"Rosal, O",5162,5164,5577,5302,5370,5679,5784,5899,5558,5486,5923,6519,44.1
36049,"Salceda de Caselas",4408,4556,4411,4411,4880,4791,4737,5063,5618,5696,6335,8810,35.9
36050,"Salvaterra de Miño",9242,9493,9514,9197,9871,9791,9266,8093,8675,8252,8073,9542,62.5
36051,"Sanxenxo",7732,8380,8578,8869,10250,12003,11027,11804,13899,14659,16098,17560,45.1
36052,"Silleda",11483,12373,13205,12532,12201,13490,11758,10493,9980,9619,9089,9108,168
36053,"Soutomaior",3275,3405,3524,3630,4000,4232,4288,5775,5434,4907,5405,7274,25
36054,"Tomiño",10186,10025,10030,10201,10281,10412,9817,9865,10499,10130,11371,13645,106.6
36055,"Tui",11113,11986,12529,12219,13500,13865,12671,12600,14975,15346,16042,17295,68.3
36056,"Valga",6002,6122,6207,4679,5362,5674,6094,6075,6108,6061,6196,6051,40.6
36057,"Vigo",23259,41213,53100,65012,85272,137873,144914,197144,258724,278050,280186,295623,109.1
36058,"Vilaboa",4179,4545,4546,4824,4912,4839,5061,5394,6001,5785,5735,6033,36.9
36059,"Vila de Cruces",9924,9718,9478,9284,10314,11068,11223,9309,8439,7192,6928,6073,155
36060,"Vilagarcía de Arousa",7312,8691,14859,16672,23705,20654,20771,24076,29453,31760,33496,37493,44.2
36061,"Vilanova de Arousa",6817,7162,8037,8614,5618,11277,12163,12641,14979,14816,10333,10600,33.7
36901,"Illa de Arousa, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4870,4975,7
