"x"
1890194
1898641.3
1907088.6
1915535.9
1923983.2
1932430.5
1940877.8
1949325.1
1957772.4
1966219.7
1974667
1981403.2
1988139.4
1994875.6
2001611.8
2008348
2015084.2
2021820.4
2028556.6
2035292.8
2042029
2052218.8
2062408.6
2072598.4
2082788.2
2092978
2103167.8
2113357.6
2123547.4
2133737.2
2154841
2181385.4
2207929.8
2234474.2
2261018.6
2287563
2314107.4
2340651.8
2367196.2
2393740.6
2422413
2438353.3
2454293.6
2470233.9
2486174.2
2502114.5
2518054.8
2533995.1
2549935.4
2565875.7
2581816
2582096.9
2582377.8
2582658.7
2582939.6
2583220.5
2583501.4
2583782.3
2584063.2
2584344.1
2584625
2583549
2582473
2581397
2580321
2579245
2578169
2577093
2576017
2574941
2578706
2594221.18181818
2609736.36363636
2625251.54545455
2640766.72727273
2656281.90909091
2671797.09090909
2687312.27272727
2702827.45454545
2718342.63636364
2733857.81818182
2753836
2749968.1
2746100.2
2742232.3
2738364.4
2734496.5
2730628.6
2726760.7
2722892.8
2719024.9
2720445
2716685.4
2712925.8
2709166.2
2705406.6
2701647
2697887.4
2694127.8
2690368.2
2686608.6
2695880
2703584.7
2711289.4
2718994.1
2726698.8
2734403.5
2742108.2
2749812.9
2757517.6
2765222.3
2772927
